objid,ra,dec
1237668333111345471,242.45232640407,10.2984990495552
1237668270841987948,242.169091378146,10.1321816934966
1237668350295212497,242.155748865403,10.3078586632811
1237668271378728121,242.138939365389,10.6488875391427
1237668333111215317,242.191865916929,10.4809410050819
1237668333111214931,242.040576636569,10.3888278753013
1237668270841856616,242.025687356254,10.3108113291648
1237668333111148648,241.927099576363,10.4167890579137
1237668332574278142,241.925300097307,10.0432632157053
1237668270841856925,241.928402560476,10.2901253172272
1237668271378662308,241.889100661288,10.7104296097275
1237668332037407189,241.746391883974,9.79263067119263
1237668333111018267,241.651561564493,10.5269078569033
1237668333111018196,241.630844439318,10.5392476147257
1237668270841659806,241.529578871816,10.3893103858723
1237668270841594730,241.370290159885,10.4935747287958
1237668332037145679,241.217250161665,9.88028023101261
1237668332037210970,241.307483101145,9.91926378481427
1237668332037210534,241.34769215663,9.85767297007164
1237668332573950664,241.080741188969,10.3090304622148
1237668333110887221,241.320514538186,10.6049671957825
1237668333110821944,241.301196017926,10.7564140673492
1237668349757948266,241.110795134716,10.0867199510797
1237668349757948445,241.129710916345,10.0081235641159
1237662638523286112,241.041719251574,9.60501049433048
1237668332573950159,241.079621135709,10.3308067729673
1237668310556279430,241.095821123085,11.1189394400295
1237668271378334191,241.152754267884,10.9124775156716
1237668271915139620,241.250039157449,11.3601477732123
1237668271915205398,241.299664541715,11.3477909555369
1237668271915140115,241.198150776299,11.3467808119409
1237668310556279075,241.122568355936,11.0793298830887
1237668310556541742,241.748454929544,10.8735110952395
1237668271915467099,241.913009999018,11.0993772038403
1237668311093542967,242.147722949826,11.2210992270064
1237668310556672827,242.033820267341,10.912246625645
1237668310021177668,244.931405389848,9.54807072556784
1237668333112460812,244.926122583433,9.64897326539943
1237668271380038888,244.951357344865,9.77743910690941
1237668271380038769,244.923147092037,9.77644770146349
1237668310557982907,244.989674497256,9.9224281442794
1237668310021112937,244.809153045872,9.55553637790268
1237668310021112913,244.817070936803,9.59857838748261
1237668271379907378,244.764724455847,9.94509679808507
1237668332575523412,244.581435178123,9.31488997411114
1237668333112394604,244.694674992312,9.73341227425439
1237668271379908118,244.746446359563,9.78103561855594
1237668349759455651,244.539496753409,9.24492523653035
1237668270842970156,244.36079783468,9.45658533697814
1237668333112263038,244.439652109622,9.77672195008392
1237668349759390245,244.311211544333,9.14595638650695
1237668349759325427,244.292871074999,9.32931711558004
1237668310020850397,244.18042764965,9.72422611645413
1237662638524662872,244.117489478622,9.04038455433729
1237668332038456088,244.052425268813,9.16936744836635
1237662638524662195,244.160908187005,9.07953984145414
1237668349759324967,244.122264939615,9.2352601138091
1237668349222388411,243.883715346495,8.84543745981394
1237668332575195608,243.902264985175,9.50592242074845
1237662637987660659,243.809804049816,8.60204760207119
1237662637987661174,243.758252953723,8.68669874466684
1237668349222322905,243.748316347106,8.90725426432284
1237668332038324252,243.770451033903,9.24453011751236
1237662638524531703,243.811116493599,9.15120930447553
1237668270842642701,243.670707936379,9.76536000614891
1237668270842578114,243.649615319703,9.82690182954544
1237662637987529161,243.469540154462,8.61996054312211
1237668349759062707,243.544488074358,9.3441630664438
1237668332038193524,243.495035352229,9.31497496176179
1237668332574999032,243.489861474493,9.62430250323331
1237662638524203726,243.197752897726,9.26284869287577
1237668332038063176,243.262588975603,9.37473667225208
1237668349758931707,243.297382132927,9.61116535463587
1237668349758866427,243.246943058137,9.60502248912197
1237662637987398252,243.205297939642,8.89272837773335
1237662637987333464,243.073854796155,8.91511826618616
1237662638524138138,242.974844939241,9.28458125016613
1237662638524138161,243.025518754571,9.31747709576778
1237668349758799914,242.953199360263,9.509878089054
1237668349758800416,242.997848589003,9.5693967595987
1237668332037865564,242.806118243328,9.50899258291675
1237668349758735137,242.873051735644,9.51918087600312
1237668349758538313,242.520114873029,9.73401972382244
1237662638523941593,242.460690045768,9.31126300194262
1237668332037603992,242.228189772405,9.64594699746
1237668271915729432,242.541411743084,10.9897747953361
1237668310556868922,242.42231468318,10.6816879287301
1237668270842053178,242.378707883173,10.045296652259
1237668310557066029,242.876812148224,10.5579289399444
1237668270842380911,243.118435308212,9.89482740097775
1237668310557197009,243.137269575454,10.4874074253273
1237668271379251505,243.253221465851,10.3607588459816
1237668311631003727,243.583184973934,11.3202530941377
1237668365315867095,243.538483727967,11.2657286455011
1237668271379383371,243.584006902348,10.2922657186279
1237668271916319353,243.8215730713,10.5670415420852
1237668310557459191,243.743330155207,10.3936186916887
